Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
PF - Knuckleheads Smoke N Brew,78660.0,2022-12-19,90,"401 FM 685 RD PFLUGERVILLE, TX 78660 ",12392706,Routine Inspection
Dollar General # 6619,78660.0,2022-12-19,100,"2205 W PECAN ST AUSTIN, TX 78660 ",11152173,Routine Inspection
Hilton Garden Inn Austin,78759.0,2022-12-19,93,"11617 RESEARCH BLVD AUSTIN, TX 78759 ",11247252,Routine Inspection
JuiceLand,78704.0,2022-12-19,95,"1625 BARTON SPRINGS RD AUSTIN, TX 78704 ",2802220,Routine Inspection
Victorina's House Wings & More,78758.0,2022-12-19,94,"9306 N LAMAR BLVD AUSTIN, TX 78758 ",12395150,Routine Inspection
Two Hands,78704.0,2022-12-19,91,"1011 S CONGRESS AVE AUSTIN, TX 78704 ",12393371,Routine Inspection
Wax Myrtle's Club & Pool,78701.0,2022-12-19,86,"501 BRAZOS ST AUSTIN, TX 78701 ",12395835,Routine Inspection
Eureka,78701.0,2022-12-19,83,"200 E 6TH ST AUSTIN, TX 78701 ",11211482,Routine Inspection
Kismet Cafe,78751.0,2022-12-19,91,"1000 E 41ST ST AUSTIN, TX 78751 ",11704512,Routine Inspection
7-Eleven Convenience Store # 38267H,78749.0,2022-12-19,95,"5000 W SLAUGHTER LN AUSTIN, TX 78749 ",12185971,Routine Inspection
Rock House Bar and Trailer Park,78732.0,2022-12-19,80,"6900 N FM 620 RD AUSTIN, TX 78732",12185755,Routine Inspection
La Superior Market #2 - Taqueria,78745.0,2022-12-19,78,"111 W WILLIAM CANNON DR AUSTIN, TX 78745 ",12396438,Routine Inspection
"Spec's Wines, Spirits & Finer Foods",78735.0,2022-12-19,94,"4970 W US 290 HWY AUSTIN, TX 78735 ",10007038,Routine Inspection
Brush Country Food Mart,78749.0,2022-12-19,94,"6511 BRUSH COUNTRY RD AUSTIN, TX 78749 ",11973925,Routine Inspection
"Iron Cactus, The",78701.0,2022-12-19,83,"606 TRINITY ST AUSTIN, TX 78701 ",2800833,Routine Inspection
Wendy's #W128,78749.0,2022-12-19,95,"5000 W SLAUGHTER LN AUSTIN, TX 78749 ",11115652,Routine Inspection
Lakehills Grocery,78733.0,2022-12-19,95,"1500 N CUERNAVACA DR AUSTIN, TX 78733 ",2801959,Routine Inspection
Tino's Greek Cafe,78748.0,2022-12-19,82,"9901 BRODIE LN AUSTIN, TX 78748 ",10001509,Routine Inspection
PF - Pflutto's Tavern,78660.0,2022-12-19,95,"20205 FM 685 RD PFLUGERVILLE, TX 78660 ",12392620,Routine Inspection
PF - CVS Pharmacy ,78664.0,2022-12-19,97,"1301 W PFLUGERVILLE PKWY PFLUGERVILLE, TX 78664 ",12392793,Routine Inspection
Twin Peaks,78745.0,2022-12-19,93,"701 E STASSNEY LN AUSTIN, TX 78745 ",10080943,Routine Inspection
Veronica Hood,78745.0,2022-12-19,100,"1606 W STASSNEY LN AUSTIN, TX 78745 ",12186629,Routine Inspection
Tino's Greek Cafe,78759.0,2022-12-19,85,"10515 N MOPAC EXPY AUSTIN, TX 78759 ",10107394,Routine Inspection
Dollar Tree ,78704.0,2022-12-19,100,"4211 S LAMAR BLVD AUSTIN, TX 78704 ",10885060,Routine Inspection
Mighty Fine Burgers Fries Shakes,78759.0,2022-12-19,96,"10515 N MOPAC EXPY AUSTIN, TX 78759 ",12394216,Routine Inspection
Trudy's,78745.0,2022-12-19,79,"901 LITTLE TEXAS LN AUSTIN, TX 78745 ",12394032,Routine Inspection
PF - Rowe Xpress,78660.0,2022-12-19,82,"20205 FM 685 RD PFLUGERVILLE, TX 78660 ",12186648,Routine Inspection
Gekki LLC,78717.0,2022-12-19,78,"11301 LAKELINE BLVD AUSTIN, TX 78717 ",12394224,Routine Inspection
PF - Holiday Inn Express,78660.0,2022-12-19,93,"18616 HILLTOP COMMERCIAL DR PFLUGERVILLE, TX 78660 ",12395670,Routine Inspection
Neighborhood Goods,78704.0,2022-12-19,96,"1007 S CONGRESS AVE AUSTIN, TX 78704 ",12392661,Routine Inspection
PF - Popeye's ,78660.0,2022-12-16,96,"1547 FM 685 RD PFLUGERVILLE, TX 78660 ",12392385,Routine Inspection
Austin Achieve Public Schools,78723.0,2022-12-16,97,"5908 MANOR RD AUSTIN, TX 78723 ",11356592,Routine Inspection
Burnet Food Mart,78756.0,2022-12-16,91,"5300 BURNET RD AUSTIN, TX 78756 ",2803497,Routine Inspection
Panda Express ,78726.0,2022-12-16,92,"7710 N FM 620 RD AUSTIN, TX 78726 ",12392896,Routine Inspection
Chick-Fil-A Four Points,78726.0,2022-12-16,98,"7710 N FM AUSTIN, TX 78726",12392567,Routine Inspection
Almost Grown,78620.0,2022-12-16,97,"18901 HAMILTON POOL RD DRIPPING SPRINGS, TX 78620 ",11826728,Routine Inspection
PF - Canteen @ Costco  Breakroom,78660.0,2022-12-16,100,"1901 KELLY LN PFLUGERVILLE, TX 78660 ",12392468,Routine Inspection
La Dulzura,78753.0,2022-12-16,95,"10601 N LAMAR AUSTIN, TX 78753 ",12395028,Routine Inspection
Pizzeria Sorellina,78669.0,2022-12-16,96,"23526 HWY W SPICEWOOD, TX 78669",11656262,Routine Inspection
McDonald's Restaurant at North Lamar,78753.0,2022-12-16,98,"9422 N LAMAR BLVD AUSTIN, TX 78753 ",11348389,Routine Inspection
La Michoacana Meat Market,78753.0,2022-12-16,90,"9308 N LAMAR BLVD AUSTIN, TX 78753 ",2804032,Routine Inspection
Bluebonnet School of Canyon Creek,78726.0,2022-12-16,97,"10321 BOULDER LN AUSTIN, TX 78726 ",10793927,Routine Inspection
Food Spot,78744.0,2022-12-16,88,"6607 S PLEASANT VALLEY RD AUSTIN, TX 78744 ",12186072,Routine Inspection
PF - Costco Wholesale /Deli,78660.0,2022-12-16,100,"1901 KELLY LN PFLUGERVILLE, TX 78660 ",12392354,Routine Inspection
Dollar General Store ,78745.0,2022-12-16,96,"6800 WEST GATE BLVD AUSTIN, TX 78745 ",2803667,Routine Inspection
La Michoacana,78753.0,2022-12-16,88,"9308 N LAMAR BLVD AUSTIN, TX 78753 ",2802495,Routine Inspection
Subway ,78731.0,2022-12-16,98,"3710 CRAWFORD AVE AUSTIN, TX 78731 ",12394874,Routine Inspection
Salt & Time Wine Shop,78702.0,2022-12-16,98,"1912 E 7TH ST AUSTIN, TX 78702 ",12395809,Routine Inspection
Bennu Coffee,78702.0,2022-12-16,90,"2001 E MARTIN LUTHER KING JR BLVD AUSTIN, TX 78702 ",10257417,Routine Inspection
PF - Club Demonstration Services,78660.0,2022-12-16,99,"1901 KELLY LN PFLUGERVILLE, TX 78660 ",12186651,Routine Inspection
Hat Creek Burger Company,78756.0,2022-12-16,83,"5400 BURNET RD AUSTIN, TX 78756 ",10345923,Routine Inspection
BC - Chisos Grill,78738.0,2022-12-16,91,"12700 HILL COUNTRY BLVD BEE CAVE, TX 78738 ",11482803,Routine Inspection
Donut Hub,78750.0,2022-12-16,89,"12129 N FM 620 RD AUSTIN, TX 78750 ",12185738,Routine Inspection
PF - Blackhawk Golf Club,78660.0,2022-12-16,94,"2714 KELLY LN PFLUGERVILLE, TX 78660 ",12392486,Routine Inspection
Holiday Inn Express,78759.0,2022-12-16,96,"10711 RESEARCH BLVD AUSTIN, TX 78759 ",11012704,Routine Inspection
Baylor Scott and White Hospital,78735.0,2022-12-16,96,"5245 W US 290 HWY EB AUSTIN, TX 78735 ",12186399,Routine Inspection
Stepping Stone School,78748.0,2022-12-16,99,"9405 BRODIE LN AUSTIN, TX 78748 ",2802293,Routine Inspection
7-Eleven Convenience Store ,78751.0,2022-12-16,90,"5101 N LAMAR BLVD AUSTIN, TX 78751 ",10155839,Routine Inspection
Circle K ,78751.0,2022-12-16,86,"3909 GUADALUPE ST AUSTIN, TX 78751 ",12186274,Routine Inspection
Jersey Mike's Subs,78751.0,2022-12-16,90,"4601 N LAMAR BLVD AUSTIN, TX 78751 ",11414167,Routine Inspection
PF - Costco Wholesale /Food Court,78660.0,2022-12-16,100,"1901 KELLY LN PFLUGERVILLE, TX 78660 ",12392351,Routine Inspection
Hunan Lion Restaurant,78704.0,2022-12-16,86,"4006 S LAMAR BLVD AUSTIN, TX 78704 ",10988489,Follow-Up Inspection
Mango King,78753.0,2022-12-16,94,"10601 N LAMAR BLVD AUSTIN, TX 78753 ",11787350,Routine Inspection
Chili's Grill & Bar,78726.0,2022-12-16,90,"7710 N FM 620 RD AUSTIN, TX 78726 ",12394459,Routine Inspection
PF - Costco Wholesale /Bakery,78660.0,2022-12-16,100,"1901 KELLY LN PFLUGERVILLE, TX 78660 ",12392355,Routine Inspection
Salt & Time Butcher Shop and Salumeria,78702.0,2022-12-16,85,"1912 E 7TH ST AUSTIN, TX 78702 ",10863629,Routine Inspection
PF - Costco Wholesale /Meat & Seafood,78660.0,2022-12-16,100,"1901 KELLY LN PFLUGERVILLE, TX 78660 ",12392356,Routine Inspection
Jimmy Johns,78705.0,2022-12-16,93,"3203 RED RIVER ST AUSTIN, TX 78705 ",2802949,Routine Inspection
Marcelino's LLC.,78702.0,2022-12-16,94,"901 TILLERY ST AUSTIN, TX 78702 ",11708903,Routine Inspection
OK Pizza & Ice Cream,78753.0,2022-12-16,97,"10601 N LAMAR BLVD AUSTIN, TX 78753 ",10262251,Routine Inspection
Taqueria Dos Amigos,78753.0,2022-12-16,89,"10601 N LAMAR BLVD AUSTIN, TX 78753 ",11796775,Routine Inspection
Austin Golf Club,78669.0,2022-12-16,94,"24900 W SH SPICEWOOD, TX 78669",2801719,Routine Inspection
